Source,Target,Weight
raikkonen,vettel,3
hulkenberg,perez,2
grosjean,gutierrez,1
haryanto,wehrlein,1
alonso,button,1
alonso,vandoorne,3
button,vandoorne,1
hamilton,rosberg,1
kvyat,max_verstappen,2
kvyat,ricciardo,1
max_verstappen,ricciardo,3
jolyon_palmer,kevin_magnussen,1
ericsson,nasr,1
kvyat,sainz,2
max_verstappen,sainz,1
bottas,massa,1
ocon,perez,2
grosjean,kevin_magnussen,4
bottas,hamilton,5
hulkenberg,jolyon_palmer,1
ericsson,giovinazzi,1
ericsson,wehrlein,1
giovinazzi,wehrlein,1
massa,stroll,1
hulkenberg,sainz,1
ericsson,leclerc,1
brendon_hartley,gasly,1
sirotkin,stroll,1
giovinazzi,raikkonen,3
leclerc,vettel,2
norris,sainz,2
perez,stroll,2
gasly,max_verstappen,1
hulkenberg,ricciardo,1
albon,kvyat,1
kubica,russell,1
gasly,kvyat,1
hulkenberg,stroll,2
albon,max_verstappen,1
ocon,ricciardo,1
latifi,russell,2
gasly,tsunoda,2
alonso,ocon,2
stroll,vettel,2
leclerc,sainz,4
mazepin,mick_schumacher,1
norris,ricciardo,2
max_verstappen,perez,4
bottas,zhou,3
hulkenberg,vettel,1
kevin_magnussen,mick_schumacher,1
hamilton,russell,3
albon,latifi,1
de_vries,tsunoda,1
gasly,ocon,2
alonso,stroll,4
hulkenberg,kevin_magnussen,2
norris,piastri,4
albon,sargeant,2
bearman,leclerc,1
bearman,sainz,1
ricciardo,tsunoda,1
doohan,gasly,1
hamilton,leclerc,2
bearman,ocon,2
antonelli,russell,2
hadjar,lawson,1
hadjar,tsunoda,1
lawson,tsunoda,2
lawson,max_verstappen,1
max_verstappen,tsunoda,1
bortoleto,hulkenberg,2
albon,sainz,2
colapinto,gasly,1
bottas,perez,1
arvid_lindblad,lawson,1
hadjar,max_verstappen,1
