Id,Label,Teams
alonso,alonso,"Minardi,Renault"
takagi,takagi,"Arrows,Tyrrell"
wendlinger,wendlinger,Sauber
raikkonen,raikkonen,"McLaren,Sauber"
zonta,zonta,BAR
fisichella,fisichella,"Benetton,Jordan,Minardi,Sauber"
gachot,gachot,Pacific
sato,sato,"BAR,Jordan"
bernard,bernard,Ligier
suzuki,suzuki,"Jordan,Ligier"
firman,firman,Jordan
irvine,irvine,"Ferrari,Jaguar,Jordan"
ratzenberger,ratzenberger,Simtek
inoue,inoue,Footwork
baumgartner,baumgartner,Minardi
brabham,brabham,Simtek
moreno,moreno,Forti
trulli,trulli,"Jordan,Minardi,Prost,Renault"
alesi,alesi,"Benetton,Ferrari,Prost,Sauber"
schiattarella,schiattarella,Simtek
lehto,lehto,Benetton
nakano,nakano,"Minardi,Prost"
rosa,rosa,"Arrows,Jaguar"
mcnish,mcnish,Toyota
magnussen,magnussen,Stewart
brundle,brundle,"Jordan,Ligier,McLaren"
herbert,herbert,"Benetton,Jaguar,Sauber,Stewart,Team Lotus"
matta,matta,Toyota
panis,panis,"BAR,Ligier,Prost,Toyota"
beretta,beretta,Larrousse
ralf_schumacher,ralf_schumacher,"Jordan,Williams"
larini,larini,"Ferrari,Sauber"
massa,massa,Sauber
wilson,wilson,Minardi
klien,klien,Jaguar
villeneuve,villeneuve,"BAR,Williams"
heidfeld,heidfeld,"Jordan,Prost,Sauber"
montermini,montermini,"Forti,Pacific"
verstappen,verstappen,"Arrows,Benetton,Footwork,Minardi,Simtek,Tyrrell"
morbidelli,morbidelli,Footwork
belmondo,belmondo,Pacific
blundell,blundell,"McLaren,Tyrrell"
gene,gene,Minardi
frentzen,frentzen,"Arrows,Jordan,Sauber,Williams"
martini,martini,Minardi
pantano,pantano,Jordan
barrichello,barrichello,"Ferrari,Jordan,Stewart"
hakkinen,hakkinen,McLaren
berger,berger,"Benetton,Ferrari"
zanardi,zanardi,Williams
senna,senna,Williams
bernoldi,bernoldi,Arrows
fittipaldi,fittipaldi,Footwork
tuero,tuero,Minardi
bruni,bruni,Minardi
coulthard,coulthard,"McLaren,Williams"
burti,burti,"Jaguar,Prost"
comas,comas,Larrousse
salo,salo,"Arrows,BAR,Sauber,Toyota,Tyrrell"
rosset,rosset,"Footwork,Tyrrell"
montoya,montoya,Williams
cesaris,cesaris,Jordan
webber,webber,"Jaguar,Minardi"
lamy,lamy,"Minardi,Team Lotus"
alboreto,alboreto,Minardi
damon_hill,damon_hill,"Arrows,Jordan,Williams"
pizzonia,pizzonia,Jaguar
badoer,badoer,"Forti,Minardi"
wurz,wurz,Benetton
mazzacane,mazzacane,"Minardi,Prost"
sarrazin,sarrazin,Minardi
katayama,katayama,"Minardi,Tyrrell"
diniz,diniz,"Arrows,Forti,Ligier,Sauber"
yoong,yoong,Minardi
button,button,"BAR,Benetton,Renault,Williams"
mansell,mansell,McLaren
marques,marques,Minardi
michael_schumacher,michael_schumacher,"Benetton,Ferrari"
