Id,Label,Teams
resta,resta,Force India
montoya,montoya,McLaren
gutierrez,gutierrez,Sauber
alonso,alonso,"Ferrari,McLaren,Renault"
nakajima,nakajima,Williams
hulkenberg,hulkenberg,"Force India,Sauber,Williams"
kovalainen,kovalainen,"Caterham,Lotus,McLaren,Renault"
ide,ide,Super Aguri
jules_bianchi,jules_bianchi,Marussia
webber,webber,"Red Bull,Williams"
kobayashi,kobayashi,"Caterham,Sauber"
petrov,petrov,"Caterham,Renault"
vergne,vergne,Toro Rosso
ralf_schumacher,ralf_schumacher,Toyota
ericsson,ericsson,"Caterham,Sauber"
friesacher,friesacher,Minardi
raikkonen,raikkonen,"Ferrari,Lotus F1,McLaren"
chandhok,chandhok,HRT
barrichello,barrichello,"Brawn,Ferrari,Honda,Williams"
bourdais,bourdais,Toro Rosso
monteiro,monteiro,"Jordan,MF1"
wurz,wurz,"McLaren,Williams"
fisichella,fisichella,"Force India,Renault"
massa,massa,"Ferrari,Sauber,Williams"
buemi,buemi,Toro Rosso
merhi,merhi,Manor Marussia
klien,klien,Red Bull
alguersuari,alguersuari,Toro Rosso
sutil,sutil,"Force India,Sauber,Spyker"
piquet_jr,piquet_jr,Renault
villeneuve,villeneuve,"BMW Sauber,Sauber"
rosberg,rosberg,"Mercedes,Williams"
sato,sato,"BAR,Super Aguri"
heidfeld,heidfeld,"BMW Sauber,Renault,Williams"
albers,albers,"MF1,Minardi,Spyker"
karthikeyan,karthikeyan,"HRT,Jordan"
kvyat,kvyat,"Red Bull,Toro Rosso"
perez,perez,"Force India,McLaren,Sauber"
garde,garde,Caterham
bottas,bottas,Williams
hamilton,hamilton,"McLaren,Mercedes"
bruno_senna,bruno_senna,"HRT,Williams"
liuzzi,liuzzi,"Force India,HRT,Red Bull,Toro Rosso"
grassi,grassi,Virgin
kevin_magnussen,kevin_magnussen,McLaren
max_verstappen,max_verstappen,Toro Rosso
grosjean,grosjean,Lotus F1
button,button,"BAR,Brawn,Honda,McLaren"
stevens,stevens,Manor Marussia
trulli,trulli,"Lotus,Toyota"
nasr,nasr,Sauber
chilton,chilton,Marussia
sainz,sainz,Toro Rosso
glock,glock,"Marussia,Toyota,Virgin"
coulthard,coulthard,Red Bull
kubica,kubica,"BMW Sauber,Renault"
ambrosio,ambrosio,Virgin
speed,speed,Toro Rosso
maldonado,maldonado,"Lotus F1,Williams"
ricciardo,ricciardo,"Red Bull,Toro Rosso"
vettel,vettel,"Ferrari,Red Bull,Toro Rosso"
rosa,rosa,"HRT,McLaren,Sauber"
pic,pic,"Caterham,Marussia"
davidson,davidson,"BAR,Super Aguri"
michael_schumacher,michael_schumacher,"Ferrari,Mercedes"
